Any,Codi comarca,Comarca,Població,Domèstic xarxa,Activitats econòmiques i fonts pròpies,Total,Consum domèstic per càpita
2023,1,"ALT CAMP, L'",46117,1711217,2692171,4403388,101.66
2023,2,"ALT EMPORDÀ, L'",146552,8021123,4343524,12364647,149.95
2023,3,"ALT PENEDÈS, L'",112638,4362371,2950711,7313082,106.11
2023,4,"ALT URGELL, L'",20855,994675,1368872,2363547,130.67
2023,5,"ALTA RIBAGORÇA, L'",3966,466511,249055,715566,322.27
2023,6,"ANOIA, L'",126695,4757347,5827828,10585175,102.88
2023,7,"BAGES, EL",183711,6962855,6414833,13377688,103.84
2023,8,"BAIX CAMP, EL",201361,9396005,5732920,15128925,127.84
2023,9,"BAIX EBRE, EL",80974,3372120,4650031,8022151,114.09
2023,10,"BAIX EMPORDÀ, EL",141521,9808033,6257373,16065406,189.88
2023,11,"BAIX LLOBREGAT, EL",841731,31753625,22439518,54193143,103.35
2023,12,"BAIX PENEDÈS, EL",115802,6554775,2242496,8797271,155.08
2023,13,"BARCELONÈS, EL",2318321,86258742,39957190,126215932,101.94
2023,14,"BERGUEDÀ, EL",40577,1378139,1216163,2594302,93.05
2023,15,"CERDANYA, LA",19848,1384865,2271943,3656808,191.16
2023,16,"CONCA DE BARBERÀ, LA",20436,674190,723098,1397288,90.38
2023,17,"GARRAF, EL",159140,7482336,2439058,9921394,128.81
2023,18,"GARRIGUES, LES",18887,671100,876384,1547484,97.35
2023,19,"GARROTXA, LA",61365,2424393,3897146,6321539,108.24
2023,20,"GIRONÈS, EL",201884,7158440,6576946,13735386,97.15
2023,43,"LLUÇANÈS, EL",5681,183797,399519,583316,88.64
2023,21,"MARESME, EL",467914,20288184,8692637,28980821,118.79
2023,42,Moianès,14699,577699,620457,1198156,107.68
2023,22,"MONTSIÀ, EL",70023,2734153,2094619,4828772,106.98
2023,23,"NOGUERA, LA",39650,1727125,1580697,3307822,119.34
2023,24,OSONA,161988,6036350,7799017,13835367,102.09
2023,25,"PALLARS JUSSÀ, EL",13370,816307,251175,1067482,167.27
2023,26,"PALLARS SOBIRÀ, EL",7248,579310,597753,1177063,218.98
2023,27,"PLA D'URGELL, EL",37456,1560682,3583175,5143857,114.16
2023,28,"PLA DE L'ESTANY, EL",33213,1377652,1485171,2862823,113.64
2023,29,"PRIORAT, EL",9315,318490,132137,450627,93.67
2023,30,"RIBERA D'EBRE, LA",22028,946700,1690081,2636781,117.75
